year,region,area,age_group,sex,value,unit,source
2550,ทั่วประเทศ,รวม,60-69 ปี,รวม,4125253,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,ในเขตเทศบาล,60-69 ปี,รวม,1182898,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,นอกเขตเทศบาล,60-69 ปี,รวม,2942355,คน,สำนักงานสถิติแห่งชาติ
2550,กรุงเทพมหานคร,ในเขตเทศบาล,60-69 ปี,รวม,390435,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,60-69 ปี,รวม,951059,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคเหนือ,รวม,60-69 ปี,รวม,829705,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคตะวันออกเฉียงเหนือ,รวม,60-69 ปี,รวม,1448595,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคใต้,รวม,60-69 ปี,รวม,505460,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,รวม,70-79 ปี,รวม,2226712,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,ในเขตเทศบาล,70-79 ปี,รวม,626687,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,นอกเขตเทศบาล,70-79 ปี,รวม,1600026,คน,สำนักงานสถิติแห่งชาติ
2550,กรุงเทพมหานคร,ในเขตเทศบาล,70-79 ปี,รวม,192617,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,70-79 ปี,รวม,533137,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคเหนือ,รวม,70-79 ปี,รวม,497492,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคตะวันออกเฉียงเหนือ,รวม,70-79 ปี,รวม,712363,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคใต้,รวม,70-79 ปี,รวม,291104,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,รวม,80 ปีขึ้นไป,รวม,668994,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,ในเขตเทศบาล,80 ปีขึ้นไป,รวม,195633,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,นอกเขตเทศบาล,80 ปีขึ้นไป,รวม,473361,คน,สำนักงานสถิติแห่งชาติ
2550,กรุงเทพมหานคร,ในเขตเทศบาล,80 ปีขึ้นไป,รวม,64314,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,80 ปีขึ้นไป,รวม,169275,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคเหนือ,รวม,80 ปีขึ้นไป,รวม,140403,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคตะวันออกเฉียงเหนือ,รวม,80 ปีขึ้นไป,รวม,198146,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคใต้,รวม,80 ปีขึ้นไป,รวม,96856,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,รวม,60-69 ปี,ชาย,1910507,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,ในเขตเทศบาล,60-69 ปี,ชาย,535264,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,นอกเขตเทศบาล,60-69 ปี,ชาย,1375243,คน,สำนักงานสถิติแห่งชาติ
2550,กรุงเทพมหานคร,ในเขตเทศบาล,60-69 ปี,ชาย,173799,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,60-69 ปี,ชาย,434636,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคเหนือ,รวม,60-69 ปี,ชาย,394125,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคตะวันออกเฉียงเหนือ,รวม,60-69 ปี,ชาย,670612,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคใต้,รวม,60-69 ปี,ชาย,237335,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,รวม,70-79 ปี,ชาย,962209,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,ในเขตเทศบาล,70-79 ปี,ชาย,261287,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,นอกเขตเทศบาล,70-79 ปี,ชาย,700922,คน,สำนักงานสถิติแห่งชาติ
2550,กรุงเทพมหานคร,ในเขตเทศบาล,70-79 ปี,ชาย,76475,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,70-79 ปี,ชาย,226373,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคเหนือ,รวม,70-79 ปี,ชาย,227452,คน,สำนักงานสถิติแห่งชาติ
